include,discipline,deliverable,activity_id,activity_type,activity_name,custom_activity_name,original_duration,custom_duration,budgeted_hours,custom_hours,owner,status,lead_notes
yes,Engineering Management,Engineering,1607_31000,Start,Start - FEL 3 Engineering,,0,,0,,,Not Started,
yes,Engineering Management,Engineering Work Groups,1607_31010,Summary,Summary - FEL 3 Engineering Work Groups,,119,,544,,,Not Started,
yes,PMAC,Engineering PMAC,1607_31020,Summary,Summary - FEL 3 Engineering PMAC,,160,,241,,,Not Started,
yes,Engineering Management,Kick-Off Meeting,1607_31170,Perform,Perform - FEL 3 Kick-Off Meeting (bp & Engineering),,1,,0,,,Not Started,
yes,PMAC,APP,1607_31030,Develop,Develop - FEL 3 APP,,20,,26,,,Not Started,
yes,Project Services,Project Services Estimate,1607_31040,Develop,Develop - FEL 3 Project Services Estimate (PSE),,20,,25,,,Not Started,
yes,PMAC,APP for Approval,1607_31060,Issue,Issue - FEL 3 APP for Approval,,0,,0,,,Not Started,
yes,Project Assurance,APP,1607_31070,Review,Review - FEL 3 APP (BP),,2,,0,,,Not Started,
yes,PMAC,APP,1607_31080,Approved,Approved - FEL 3 APP,,0,,0,,,Not Started,
yes,Project Assurance,Setting Business Priorities,1607_31050,Develop,Develop - Setting Business Priorities,,1,,2,,,Not Started,
yes,Project Assurance,Technical Practice Agreement,1607_31290,Develop,Develop - Technical Practice Agreement (TPA),,5,,2,,,Not Started,
yes,Procurement,Procurement & Contracting Stategy,1607_31500,Develop,Develop - Procurement & Contracting Stategy,,5,,2,,,Not Started,
yes,Project Assurance,Waste Plan,1607_31760,Develop,Develop - Waste Plan,,5,,2,,,Not Started,
yes,Project Assurance,FEL Toolbox Review *,1607_31970,Perform,Perform - FEL Toolbox Review *,,1,,2,,,Not Started,
yes,Project Assurance,Lessons Learned,1607_31670,Perform,Perform - Lessons Learned,,1,,2,,,Not Started,
yes,Project Assurance,Constructability Review & 30% 3D Model Review,1607_31560,Perform,Perform - Constructability Review & 30% 3D Model Review,,1,,28,,,Not Started,
yes,Project Assurance,Local  PHSSER,1607_31490,Prepare,Prepare - FEL 3  Local  PHSSER (pre-fill),,5,,2,,,Not Started,
yes,Project Assurance,Risk Assessment,1607_31660,Perform,Perform - Risk Assessment,,1,,2,,,Not Started,
yes,Project Assurance,Local PHSSER,1607_31610,Perform,Perform - FEL 3 Local PHSSER,,1,,2,,,Not Started,
yes,Project Assurance,SIS I/O Assessment,1607_31550,Develop,Develop - SIS I/O Assessment,,10,,12,,,Not Started,
yes,Project Assurance,SIS Safety Plan,1607_31530,Develop,Develop - SIS Safety Plan,,1,,6,,,Not Started,
yes,Engineering,PEP / SoR / BoD,1607_31650,Develop,Develop - FEL 3 PEP / SoR / BoD,,10,,6,,,Not Started,
yes,Project Assurance,PEP / SoR / BoD for Review,1607_31720,Issue,Issue - FEL 3 PEP / SoR / BoD for Review,,0,,0,,,Not Started,
yes,Project Assurance,PEP / SoR / BoD,1607_31770,Review,Review - FEL 3 PEP / SoR / BoD,,5,,0,,,Not Started,
yes,PMAC,PEP / SoR / BoD,1607_31800,Approved,Approved - FEL 3 PEP / SoR / BoD,,0,,0,,,Not Started,
yes,Engineering,Preliminary 3D Model,1607_31090,Develop,Develop - Preliminary 3D Model,,59,,256,,,Not Started,
yes,Project Assurance,3D Model Review,1607_31520,Perform,Perform - 3D Model Review (Internal),,1,,18,,,Not Started,
yes,Project Assurance,3D Model Review  Comments,1607_31540,Incorporate,Incorporate - 3D Model Review (Internal) Comments,,1,,15,,,Not Started,
yes,Project Assurance,3D Model Review W/bp,1607_31570,Perform,Perform - 3D Model Review W/bp,,1,,18,,,Not Started,
yes,Project Assurance,3D Model Review W/bp Comments,1607_31590,Incorporate,Incorporate - 3D Model Review W/bp Comments,,3,,17,,,Not Started,
yes,Process,Data Sheets,1607_31100,Develop,Develop - Data Sheets,,9,,18,,,Not Started,
yes,Process,Process Design Basis,1607_31680,Develop,Develop - Process Design Basis,,10,,12,,,Not Started,
yes,Mechanical,Equipment List,1607_31430,Develop,Develop - Equipment List,,5,,4,,,Not Started,
yes,Mechanical,Existing Drawing Review/Nozzle Locations,1607_31460,Develop,Develop - Existing Drawing Review/Nozzle Locations,,10,,16,,,Not Started,
yes,Mechanical,Specialty Item List,1607_31470,Develop,Develop - Specialty Item List,,5,,6,,,Not Started,
yes,Mechanical,Equipment List/Specialty Items List,1607_31580,Finalize,Finalize - Equipment List/Specialty Items List,,5,,0,,,Not Started,
yes,Piping,Laser Scanning & Registration,1607_31110,Perform,Perform - Laser Scanning & Registration,,19,,49,,,Not Started,
yes,Piping,Cadworx Specs,1607_31210,Review,Review -  Cadworx Specs,,5,,8,,,Not Started,
yes,I&C,Block Diagram/Instrument Index,1607_31130,Develop,Develop - Block Diagram/Instrument Index,,10,,52,,,Not Started,
yes,I&C,Preliminary Datasheets,1607_31150,Develop,Develop - Preliminary Datasheets,,10,,65,,,Not Started,
yes,I&C,Preliminary Loop Drawings,1607_31190,Develop,Develop - Preliminary Loop Drawings,,5,,26,,,Not Started,
yes,I&C,DCS  Configuration Sheets,1607_31370,Develop,Develop - DCS  Configuration Sheets,,10,,26,,,Not Started,
yes,I&C,C&E Redlines,1607_31380,Develop,Develop - C&E Redlines,,10,,20,,,Not Started,
yes,I&C,Block Diagram,1607_31340,Finalize,Finalize - Block Diagram,,5,,4,,,Not Started,
yes,I&C,Preliminary Instrument Index,1607_31350,Finalize,Finalize - Preliminary Instrument Index,,5,,4,,,Not Started,
yes,I&C,Logic Diagrams,1607_31360,Develop,Develop - Logic Diagrams,,5,,23,,,Not Started,
yes,Electrical,Preliminary Area Classification,1607_31120,Develop,Develop - Preliminary Area Classification,,38,,8,,,Not Started,
yes,Electrical,Preliminary Electrical Plan Drawings,1607_31160,Develop,Develop - Preliminary Electrical Plan Drawings,,50,,40,,,Not Started,
yes,Project Services,Preliminary Panel Schedules,1607_31200,Develop,Develop - Preliminary Panel Schedules,,45,,8,,,Not Started,
yes,Electrical,Preliminary Block Diagrams,1607_31220,Develop,Develop - Preliminary Block Diagrams,,40,,20,,,Not Started,
yes,Electrical,Preliminary Scope Narative,1607_31600,Develop,Develop - Preliminary Scope Narative,,15,,8,,,Not Started,
